,year,Marvel,DC Comics
0,1931,0,1
1,1932,0,0
2,1933,0,0
3,1934,0,0
4,1935,0,62
5,1936,1,46
6,1937,0,25
7,1938,0,45
8,1939,15,34
9,1940,49,86
10,1941,48,97
11,1942,11,78
12,1943,13,43
13,1944,4,35
14,1945,5,26
15,1946,6,31
16,1947,7,57
17,1948,9,48
18,1949,5,20
19,1950,8,17
20,1951,2,22
21,1952,5,16
22,1953,11,16
23,1954,23,12
24,1955,8,34
25,1956,13,18
26,1957,1,42
27,1958,1,59
28,1959,8,77
29,1960,32,88
30,1961,55,101
31,1962,69,76
32,1963,132,94
33,1964,123,98
34,1965,105,88
35,1966,93,146
36,1967,99,90
37,1968,106,110
38,1969,97,29
39,1970,97,48
40,1971,73,102
41,1972,114,80
42,1973,166,89
43,1974,198,37
44,1975,204,62
45,1976,217,73
46,1977,238,107
47,1978,137,72
48,1979,165,46
49,1980,191,74
50,1981,172,106
51,1982,181,109
52,1983,174,146
53,1984,180,134
54,1985,218,144
55,1986,241,125
56,1987,230,241
57,1988,280,184
58,1989,267,182
59,1990,291,161
60,1991,328,138
61,1992,394,206
62,1993,555,224
63,1994,446,208
64,1995,306,139
65,1996,229,219
66,1997,183,159
67,1998,242,192
68,1999,195,187
69,2000,313,162
70,2001,202,132
71,2002,233,105
72,2003,182,119
73,2004,232,138
74,2005,220,197
75,2006,260,253
76,2007,210,208
77,2008,331,259
78,2009,263,230
79,2010,262,183
80,2011,290,311
81,2012,171,302
82,2013,231,219
83,2014,234,201
84,2015,154,264
85,2016,189,207
86,2017,137,126
87,2018,127,129
88,2019,154,104
89,2020,80,75
90,2021,16,33
